title,metaphoneA,metaphoneB,ngramsA,ngramsB
kutumb jagran,KTMPJKRN,,"[('K', 'T', 'M'), ('T', 'M', 'P'), ('M', 'P', 'J'), ('P', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
swatantra jagran,STNTRJKRN,XTNTRJKRN,"[('S', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('X', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
jalaun jagran,JLNJKRN,ALNJKRN,"[('J', 'L', 'N'), ('L', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'L', 'N'), ('L', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
morning jagran samachar,MRNNKJKRNSMKR,,"[('M', 'R', 'N'), ('R', 'N', 'N'), ('N', 'N', 'K'), ('N', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'M'), ('S', 'M', 'K'), ('M', 'K', 'R')]",[]
surya jagran,SRJKRN,,"[('S', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jaunpur jagran,JNPRJKRN,ANPRJKRN,"[('J', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
jagta rahega jagran,JKTRHKJKRN,AKTRHKJKRN,"[('J', 'K', 'T'), ('K', 'T', 'R'), ('T', 'R', 'H'), ('R', 'H', 'K'), ('H', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'K', 'T'), ('K', 'T', 'R'), ('T', 'R', 'H'), ('R', 'H', 'K'), ('H', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
khas jagran,KSJKRN,,"[('K', 'S', 'J'), ('S', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
manohar jagran,MNHRJKRN,,"[('M', 'N', 'H'), ('N', 'H', 'R'), ('H', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jagran journal of management and technology,JKRNJRNLFMNJMNTNTTKNLJ,AKRNJRNLFMNKMNTNTTKNLK,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'M'), ('F', 'M', 'N'), ('M', 'N', 'J'), ('N', 'J', 'M'), ('J', 'M', 'N'), ('M', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'L'), ('N', 'L', 'J')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'M'), ('F', 'M', 'N'), ('M', 'N', 'K'), ('N', 'K', 'M'), ('K', 'M', 'N'), ('M', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'L'), ('N', 'L', 'K')]"
jagran josh,JKRNJX,AKRNJX,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'X')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'X')]"
jagran khet khalihan,JKRNKTKLHN,AKRNKTKLHN,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'T'), ('K', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'H'), ('L', 'H', 'N')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'T'), ('K', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'H'), ('L', 'H', 'N')]"
dalit jagran times,TLTJKRNTMS,,"[('T', 'L', 'T'), ('L', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
suprabhat jagran,SPRPTJKRN,,"[('S', 'P', 'R'), ('P', 'R', 'P'), ('R', 'P', 'T'), ('P', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
sandhya jagran,SNTJKRN,,"[('S', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
swaraj jagran,SRJJKRN,XRJJKRN,"[('S', 'R', 'J'), ('R', 'J', 'J'), ('J', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('X', 'R', 'J'), ('R', 'J', 'J'), ('J', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
vindhyavashini jagran,FNTFXNJKRN,,"[('F', 'N', 'T'), ('N', 'T', 'F'), ('T', 'F', 'X'), ('F', 'X', 'N'), ('X', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
vasundhara jagran,FSNTRJKRN,,"[('F', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
gyan jagran,KNJKRN,JNJKRN,"[('K', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
lucknow janhit jagran,LKNJNTJKRN,,"[('L', 'K', 'N'), ('K', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jagran morcha,JKRNMRX,AKRNMRK,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'M'), ('N', 'M', 'R'), ('M', 'R', 'X')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'M'), ('N', 'M', 'R'), ('M', 'R', 'K')]"
swabhiman jagran,SPMNJKRN,XPMNJKRN,"[('S', 'P', 'M'), ('P', 'M', 'N'), ('M', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('X', 'P', 'M'), ('P', 'M', 'N'), ('M', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
nirbhik rashtriya punarjagran,NRPKRXTRPNRJKRN,,"[('N', 'R', 'P'), ('R', 'P', 'K'), ('P', 'K', 'R'), ('K', 'R', 'X'), ('R', 'X', 'T'), ('X', 'T', 'R'), ('T', 'R', 'P'), ('R', 'P', 'N'), ('P', 'N', 'R'), ('N', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
saransh jagran,SRNXJKRN,,"[('S', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
awadh jagran,ATJKRN,,"[('A', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
yug jagran times,AKJKRNTMS,,"[('A', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
pal kshatriya jagran,PLKXTRJKRN,,"[('P', 'L', 'K'), ('L', 'K', 'X'), ('K', 'X', 'T'), ('X', 'T', 'R'), ('T', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
prod jagran,PRTJKRN,,"[('P', 'R', 'T'), ('R', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
udyog jagran,ATKJKRN,,"[('A', 'T', 'K'), ('T', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
srishti jagran times,SRXTJKRNTMS,,"[('S', 'R', 'X'), ('R', 'X', 'T'), ('X', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
janta jagran jansabha,JNTJKRNJNSP,ANTJKRNJNSP,"[('J', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'S'), ('N', 'S', 'P')]","[('A', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'S'), ('N', 'S', 'P')]"
mahila jagran,MHLJKRN,,"[('M', 'H', 'L'), ('H', 'L', 'J'), ('L', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
ginvani jagran,KNFNJKRN,JNFNJKRN,"[('K', 'N', 'F'), ('N', 'F', 'N'), ('F', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('J', 'N', 'F'), ('N', 'F', 'N'), ('F', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
sahara jagran times,SHRJKRNTMS,,"[('S', 'H', 'R'), ('H', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
srishti jagran,SRXTJKRN,,"[('S', 'R', 'X'), ('R', 'X', 'T'), ('X', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
shri devvansh jagran,XRTFNXJKRN,,"[('X', 'R', 'T'), ('R', 'T', 'F'), ('T', 'F', 'N'), ('F', 'N', 'X'), ('N', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
rampur jagran,RMPRJKRN,,"[('R', 'M', 'P'), ('M', 'P', 'R'), ('P', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
vaidik jagran,FTKJKRN,,"[('F', 'T', 'K'), ('T', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jagran gaon dehat khabar,JKRNKNTHTKPR,AKRNKNTHTKPR,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'H'), ('T', 'H', 'T'), ('H', 'T', 'K'), ('T', 'K', 'P'), ('K', 'P', 'R')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'H'), ('T', 'H', 'T'), ('H', 'T', 'K'), ('T', 'K', 'P'), ('K', 'P', 'R')]"
nari jagran,NRJKRN,,"[('N', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
bharatiya jan jagran karm path,PRTJNJKRNKRMP0,PRTJNJKRNKRMPT,"[('P', 'R', 'T'), ('R', 'T', 'J'), ('T', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'R'), ('K', 'R', 'M'), ('R', 'M', 'P'), ('M', 'P', '0')]","[('P', 'R', 'T'), ('R', 'T', 'J'), ('T', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'R'), ('K', 'R', 'M'), ('R', 'M', 'P'), ('M', 'P', 'T')]"
devbhoomi jagran,TFPMJKRN,,"[('T', 'F', 'P'), ('F', 'P', 'M'), ('P', 'M', 'J'), ('M', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
himalaya jagran,HMLJKRN,,"[('H', 'M', 'L'), ('M', 'L', 'J'), ('L', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
janjagran samachar,JNJKRNSMKR,ANJKRNSMKR,"[('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'M'), ('S', 'M', 'K'), ('M', 'K', 'R')]","[('A', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'M'), ('S', 'M', 'K'), ('M', 'K', 'R')]"
uttrakhand janjagran,ATRKNTJNJKRN,,"[('A', 'T', 'R'), ('T', 'R', 'K'), ('R', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jagran jyoti,JKRNJT,AKRNJT,"[('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'T')]","[('A', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'T')]"
jan chetna jagran,JNXTNJKRN,ANKTNJKRN,"[('J', 'N', 'X'), ('N', 'X', 'T'), ('X', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'K'), ('N', 'K', 'T'), ('K', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
satat jagran,STTJKRN,,"[('S', 'T', 'T'), ('T', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jain jagran,JNJKRN,ANJKRN,"[('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
anuja times,ANJTMS,ANHTMS,"[('A', 'N', 'J'), ('N', 'J', 'T'), ('J', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'N', 'H'), ('N', 'H', 'T'), ('H', 'T', 'M'), ('T', 'M', 'S')]"
neel gagan samachar times,NLKKNSMKRTMS,,"[('N', 'L', 'K'), ('L', 'K', 'K'), ('K', 'K', 'N'), ('K', 'N', 'S'), ('N', 'S', 'M'), ('S', 'M', 'K'), ('M', 'K', 'R'), ('K', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
aap sub ka sahara times,APSPKSHRTMS,,"[('A', 'P', 'S'), ('P', 'S', 'P'), ('S', 'P', 'K'), ('P', 'K', 'S'), ('K', 'S', 'H'), ('S', 'H', 'R'), ('H', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
today times,TTTMS,,"[('T', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
the king times,0KNKTMS,TKNKTMS,"[('0', 'K', 'N'), ('K', 'N', 'K'), ('N', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'K', 'N'), ('K', 'N', 'K'), ('N', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]"
emerald times,AMRLTTMS,,"[('A', 'M', 'R'), ('M', 'R', 'L'), ('R', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
the port blair times,0PRTPLRTMS,TPRTPLRTMS,"[('0', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'P'), ('T', 'P', 'L'), ('P', 'L', 'R'), ('L', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'P'), ('T', 'P', 'L'), ('P', 'L', 'R'), ('L', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]"
the dawn times,0TNTMS,TTNTMS,"[('0', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]"
the times of andaman,0TMSFNTMN,TTMSFNTMN,"[('0', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'F'), ('S', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'N')]","[('T', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'F'), ('S', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'N')]"
new island times,NLNTTMS,,"[('N', 'L', 'N'), ('L', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
shanthi times,XN0TMS,XNTTMS,"[('X', 'N', '0'), ('N', '0', 'T'), ('0', 'T', 'M'), ('T', 'M', 'S')]","[('X', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
ananta times,ANNTTMS,,"[('A', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
akshra times,AKXRTMS,,"[('A', 'K', 'X'), ('K', 'X', 'R'), ('X', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
kadiri times,KTRTMS,,"[('K', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
bhagavan times,PKFNTMS,,"[('P', 'K', 'F'), ('K', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
shambu times,XMPTMS,,"[('X', 'M', 'P'), ('M', 'P', 'T'), ('P', 'T', 'M'), ('T', 'M', 'S')]",[]
penna times,PNTMS,,"[('P', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
vamsi times,FMSTMS,,"[('F', 'M', 'S'), ('M', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
pavitra times,PFTRTMS,,"[('P', 'F', 'T'), ('F', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
nandu times,NNTTMS,,"[('N', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
the times of adithya,0TMSFT0,TTMSFTT,"[('0', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'F'), ('S', 'F', 'T'), ('F', 'T', '0')]","[('T', 'T', 'M'), ('T', 'M', 'S'), ('M', 'S', 'F'), ('S', 'F', 'T'), ('F', 'T', 'T')]"
khadri times,KTRTMS,,"[('K', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
new mamatha times,NMM0TMS,NMMTTMS,"[('N', 'M', 'M'), ('M', 'M', '0'), ('M', '0', 'T'), ('0', 'T', 'M'), ('T', 'M', 'S')]","[('N', 'M', 'M'), ('M', 'M', 'T'), ('M', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
tadipatri times,TTPTRTMS,,"[('T', 'T', 'P'), ('T', 'P', 'T'), ('P', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
shalini times,XLNTMS,,"[('X', 'L', 'N'), ('L', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
pamidi times,PMTTMS,,"[('P', 'M', 'T'), ('M', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
harika times,HRKTMS,,"[('H', 'R', 'K'), ('R', 'K', 'T'), ('K', 'T', 'M'), ('T', 'M', 'S')]",[]
keerthi times,KR0TMS,KRTTMS,"[('K', 'R', '0'), ('R', '0', 'T'), ('0', 'T', 'M'), ('T', 'M', 'S')]","[('K', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
happy india times,HPNTTMS,,"[('H', 'P', 'N'), ('P', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
pyramid times,PRMTTMS,,"[('P', 'R', 'M'), ('R', 'M', 'T'), ('M', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
tirupati happy times,TRPTPTMS,,"[('T', 'R', 'P'), ('R', 'P', 'T'), ('P', 'T', 'P'), ('T', 'P', 'T'), ('P', 'T', 'M'), ('T', 'M', 'S')]",[]
eswar times,ASRTMS,,"[('A', 'S', 'R'), ('S', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
registration times,RJSTRXNTMS,RKSTRXNTMS,"[('R', 'J', 'S'), ('J', 'S', 'T'), ('S', 'T', 'R'), ('T', 'R', 'X'), ('R', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]","[('R', 'K', 'S'), ('K', 'S', 'T'), ('S', 'T', 'R'), ('T', 'R', 'X'), ('R', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]"
times of tirupati,TMSFTRPT,,"[('T', 'M', 'S'), ('M', 'S', 'F'), ('S', 'F', 'T'), ('F', 'T', 'R'), ('T', 'R', 'P'), ('R', 'P', 'T')]",[]
environment and pollution times,ANFRNMNTNTPLXNTMS,,"[('A', 'N', 'F'), ('N', 'F', 'R'), ('F', 'R', 'N'), ('R', 'N', 'M'), ('N', 'M', 'N'), ('M', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'P'), ('T', 'P', 'L'), ('P', 'L', 'X'), ('L', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]",[]
tourism times,TRSMTMS,,"[('T', 'R', 'S'), ('R', 'S', 'M'), ('S', 'M', 'T'), ('M', 'T', 'M'), ('T', 'M', 'S')]",[]
journalist times,JRNLSTTMS,ARNLSTTMS,"[('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'S'), ('L', 'S', 'T'), ('S', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]","[('A', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'S'), ('L', 'S', 'T'), ('S', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]"
rajamahendravaram times,RJMHNTRFRMTMS,RHMHNTRFRMTMS,"[('R', 'J', 'M'), ('J', 'M', 'H'), ('M', 'H', 'N'), ('H', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'F'), ('R', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'T'), ('M', 'T', 'M'), ('T', 'M', 'S')]","[('R', 'H', 'M'), ('H', 'M', 'H'), ('M', 'H', 'N'), ('H', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'F'), ('R', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'T'), ('M', 'T', 'M'), ('T', 'M', 'S')]"
samakaleena andhra times,SMKLNNTRTMS,,"[('S', 'M', 'K'), ('M', 'K', 'L'), ('K', 'L', 'N'), ('L', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
kakinada times,KKNTTMS,,"[('K', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
godavari times,KTFRTMS,,"[('K', 'T', 'F'), ('T', 'F', 'R'), ('F', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
dikhsutchi times,TKSXTMS,,"[('T', 'K', 'S'), ('K', 'S', 'X'), ('S', 'X', 'T'), ('X', 'T', 'M'), ('T', 'M', 'S')]",[]
coasta times,KSTTMS,,"[('K', 'S', 'T'), ('S', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
times in the city,TMSN0ST,TMSNTST,"[('T', 'M', 'S'), ('M', 'S', 'N'), ('S', 'N', '0'), ('N', '0', 'S'), ('0', 'S', 'T')]","[('T', 'M', 'S'), ('M', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'T')]"
namburi times,NMPRTMS,,"[('N', 'M', 'P'), ('M', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
guntur times,KNTRTMS,,"[('K', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
ponnur times,PNRTMS,,"[('P', 'N', 'R'), ('N', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]",[]
bapatla times,PPTLTMS,,"[('P', 'P', 'T'), ('P', 'T', 'L'), ('T', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]",[]
nandi times,NNTTMS,,"[('N', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
sujana times,SJNTMS,SHNTMS,"[('S', 'J', 'N'), ('J', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]","[('S', 'H', 'N'), ('H', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'S')]"
swarnapuri times,SRNPRTMS,XRNPRTMS,"[('S', 'R', 'N'), ('R', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]","[('X', 'R', 'N'), ('R', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'S')]"
commerce times,KMRSTMS,,"[('K', 'M', 'R'), ('M', 'R', 'S'), ('R', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]",[]
law times,LTMS,,"[('L', 'T', 'M'), ('T', 'M', 'S')]",[]
weavers times,AFRSTMS,FFRSTMS,"[('A', 'F', 'R'), ('F', 'R', 'S'), ('R', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]","[('F', 'F', 'R'), ('F', 'R', 'S'), ('R', 'S', 'T'), ('S', 'T', 'M'), ('T', 'M', 'S')]"
the tenali times,0TNLTMS,TTNLTMS,"[('0', 'T', 'N'), ('T', 'N', 'L'), ('N', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]","[('T', 'T', 'N'), ('T', 'N', 'L'), ('N', 'L', 'T'), ('L', 'T', 'M'), ('T', 'M', 'S')]"
vijayawada times,FJTTMS,,"[('F', 'J', 'T'), ('J', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'S')]",[]
